ID,date,Typ,Zimmer,Fläche,Preis,PLZ BfS,PLZ Crawler,Ort,Kanton
59229,28/11/2019,Wohnung,3,61,1050,2800,2800,Delémont,Jura
59229,28/11/2019,Wohnung,3,61,1050,2800,2800,Delémont,Jura
59229,28/11/2019,Wohnung,3,61,1050,2800,2800,Delémont,Jura
59230,28/02/2020,Wohnung,3,65,1290,2540,2540,Grenchen,Solothurn
59231,28/02/2020,Wohnung,4,87,1460,2540,2540,Grenchen,Solothurn
59232,28/02/2020,Wohnung,"3,5",72,1300,2540,2540,Grenchen,Solothurn
59233,28/02/2020,Wohnung,4,85,1380,2540,2540,Grenchen,Solothurn
59235,28/02/2020,Wohnung,"4,5",100,1330,2540,2540,Grenchen,Solothurn
59239,31/01/2020,Wohnung,"4,5",102,1863,4313,4313,Möhlin,Aargau
59239,31/01/2020,Wohnung,"4,5",102,1863,4313,4313,Möhlin,Aargau
59240,04/03/2020,Wohnung,"2,5",56,1420,5621,5621,Zufikon,Aargau
59257,17/10/2019,Möbliertes Wohnobjekt,1,25,2980,1800,1800,Vevey,Waadt
59258,17/10/2019,Möbliertes Wohnobjekt,1,25,2156,1800,1800,Vevey,Waadt
59259,17/10/2019,Möbliertes Wohnobjekt,1,30,2468,1800,1800,Vevey,Waadt
59260,17/10/2019,Möbliertes Wohnobjekt,1,16,1431,1800,1800,Vevey,Waadt
